"","mass_density","oxygen.transition_metal_atom","atoms_cell.cell_vol","electronic_energy_band_gap","energy_atom","space_group","point_group","c.a_ratio","AGL_thermal_conductivity"
"1",5.28629,1,0.06503205,0,-2.89484,216,24,1,2.4349
"2",6.45335,3,0.078109256,1.7706,-6.76521,221,48,1,12.2468
"3",6.06196,2,0.087518734,1.6901,-5.50833,194,24,4.258978642,4.10466
"4",7.25634,2,0.087924842,1.8904,-4.36026,194,24,4.279766675,2.95475
"5",6.99145,2,0.080348633,0.9858,-4.49855,194,24,4.154988111,2.33078
"6",6.88202,2,0.065090924,0.6242,-4.37448,194,24,3.85971333,1.492
"7",5.20261,2,0.067806954,2.4628,-6.18435,194,24,3.845535045,2.61324
"8",5.53412,2,0.058271238,2.5359,-6.4977,194,24,3.575256718,2.28828
"9",5.24078,2,0.075662997,1.4608,-5.53243,33,4,1.290807171,2.40141
"10",3.86428,1,0.042839395,1.504,-2.98254,139,8,1,0.691056
"11",5.88821,2,0.066072642,2.7337,-5.38332,227,48,1,1.57588
"12",6.5045,0.25,0.070548728,0.6067,-4.98983,227,48,1,2.47715
"13",6.62411,0.5,0.051642223,0.0868,-2.11465,224,48,1,0.0174529
"14",4.47728,1,0.038640623,1.4461,-2.90303,119,8,1,0.545209
"15",8.32514,1.2,0.062087476,0,-3.58419,162,12,1.079109282,0.452188
"16",6.27993,1.33,0.065412652,0.4311,-4.01044,218,24,1,0.747144
"17",6.08172,1.33,0.069999213,0.8715,-4.55679,218,24,1,1.07225
"18",6.31276,3,0.088870878,3.1268,-7.89861,221,48,1,22.272
"19",4.98403,2,0.09798542,2.015,-6.06713,194,24,3.958898372,8.57476
"20",4.50072,3,0.082692467,3.5,-8.24,194,24,3.289398281,9.925
"21",4.28096,2,0.102017766,5.4135,-7.07695,227,48,1,11.38
"22",5.19488,3,0.09544717,5.54,-8.32,62,8,1.424474187,8.79
"23",4.14902,4,0.081531155,3.5213,-7.18643,141,16,1,7.49817
"24",7.76088,2,0.068248904,2.2382,-6.33583,194,24,3.71583534,2.75783
"25",7.73964,2,0.058651456,2.814,-6.66859,194,24,3.415228242,1.79906
"26",8.07361,3,0.063329217,1.9733,-5.98298,57,8,3.231880402,2.32446
"27",5.0852,4,0.109557024,2.8001,-8.45028,141,16,1,19.3308
"28",7.71043,4,0.108931473,3.6319,-8.82655,141,16,1,17.4699
