"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Thermal_Conductivity"
"1",6.62411,0.5,0.051642223,0.0868,-2.11465,48,1,50.0423,"Low"
"2",6.01944,0.5,0.076000162,0.6558,-3.6167,48,1,97.0286,"Low"
"3",8.32514,1.2,0.062087476,0,-3.58419,12,1.079109282,82.1727,"Low"
"4",4.68948,0.67,0.034622442,1.4945,-3.52205,16,1.200735379,27.3577,"Low"
"5",4.70755,1,0.044950083,1.3562,-3.56908,8,1.686468044,40.105,"Low"
"6",4.47728,1,0.038640623,1.4461,-2.90303,8,1,30.841,"Low"
"7",3.86428,1,0.042839395,1.504,-2.98254,8,1,33.8962,"Low"
"8",7.95705,0.25,0.056500025,0,-7.46993,48,1,143.869,"Low"
"9",5.85747,0.75,0.081712698,0.0653,-3.98597,16,1,116.163,"Low"
"10",6.27993,1.33,0.065412652,0.4311,-4.01044,24,1,90.4714,"Low"
"11",6.08172,1.33,0.069999213,0.8715,-4.55679,24,1,102.523,"Low"
"12",4.41627,2,0.048190739,1.9729,-5.62294,48,1,67.1517,"Low"
"13",5.96773,1,0.090359745,0,-4.17131,4,1.758671889,136.881,"Low"
"14",4.22102,2,0.044507744,1.2829,-4.26136,8,0.82428564,51.9207,"Low"
"15",5.64167,1.5,0.052139206,3.5256,-8.15204,24,1,109.882,"Low"
"16",6.88202,2,0.065090924,0.6242,-4.37448,24,3.85971333,103.286,"Low"
"17",5.88821,2,0.066072642,2.7337,-5.38332,48,1,121.466,"Low"
"18",5.78034,1.33,0.072878153,1.5995,-4.47772,48,1,112.174,"Low"
"19",6.28799,1,0.058978782,0,-3.78289,12,1.580611803,87.9671,"Low"
"20",2.8443,3,0.084378098,3.2388,-5.96572,24,1,132.098,"Low"
"21",4.13452,3,0.060140629,2.0808,-5.4556,24,1,101.58,"Low"
"22",4.84192,1.714,0.094572932,0,-7.38909,6,1,164.628,"Low"
"23",7.73964,2,0.058651456,2.814,-6.66859,24,3.415228242,109.392,"Low"
"24",8.15424,3.5,0.08565744,0,-5.97745,48,1,144.371,"Low"
"25",7.18237,2,0.074298542,0.3593,-4.75786,8,3.084148722,133.082,"Low"
"26",5.38592,2,0.056837827,1.6271,-5.92321,6,1.14282948,80.9206,"Low"
"27",6.14323,2,0.076855582,1.4193,-4.03947,24,1,108.988,"Low"
"28",7.1842,2,0.079234818,1.8886,-5.14331,48,1,169.317,"Low"
"29",5.53412,2,0.058271238,2.5359,-6.4977,24,3.575256718,98.1076,"Low"
"30",8.07361,3,0.063329217,1.9733,-5.98298,8,3.231880402,128.066,"Low"
