,mass_density,ratio_oxygen_by_transition_metal_atom,ratio_atoms_cell_by_cell_vol,electronic_energy_band_gap,energy_atom,space_group,point_group,c_by_a_ratio,AGL_thermal_conductivity
0,5.28629,1.0,0.06503205,0.0,-2.8948400000000003,43,6,1.0,2.4349
1,6.45335,3.0,0.078109256,1.7706,-6.765210000000001,45,7,1.0,12.2468
2,6.06196,2.0,0.087518734,1.6901,-5.50833,39,6,4.258978642,4.10466
3,7.25634,2.0,0.08792484199999999,1.8904,-4.36026,39,6,4.279766675,2.95475
4,6.99145,2.0,0.080348633,0.9858,-4.49855,39,6,4.154988111000001,2.33078
5,6.88202,2.0,0.06509092400000001,0.6242,-4.37448,39,6,3.85971333,1.492
6,5.20261,2.0,0.067806954,2.4628,-6.18435,39,6,3.845535045,2.6132400000000002
7,5.53412,2.0,0.058271237999999996,2.5359,-6.4977,39,6,3.5752567180000003,2.28828
8,5.24078,2.0,0.075662997,1.4608,-5.532430000000001,3,0,1.290807171,2.40141
9,3.8642800000000004,1.0,0.042839395,1.504,-2.98254,26,2,1.0,0.691056
10,5.88821,2.0,0.066072642,2.7337,-5.383319999999999,48,7,1.0,1.57588
11,6.5045,0.25,0.070548728,0.6067,-4.98983,48,7,1.0,2.47715
12,6.624110000000001,0.5,0.051642223,0.0868,-2.11465,46,7,1.0,0.017452900000000004
13,4.47728,1.0,0.038640623,1.4461,-2.9030299999999998,19,2,1.0,0.545209
14,8.32514,1.2,0.062087475999999996,0.0,-3.58419,31,3,1.0791092820000001,0.45218800000000003
15,6.27993,1.33,0.065412652,0.4311,-4.01044,44,6,1.0,0.7471439999999999
16,6.08172,1.33,0.069999213,0.8715,-4.55679,44,6,1.0,1.07225
17,6.31276,3.0,0.08887087800000001,3.1268,-7.898610000000001,45,7,1.0,22.272
18,4.984030000000001,2.0,0.09798542,2.015,-6.067130000000001,39,6,3.9588983719999997,8.574760000000001
19,4.500719999999999,3.0,0.082692467,3.5,-8.24,39,6,3.2893982810000004,9.925
20,4.280959999999999,2.0,0.102017766,5.4135,-7.07695,48,7,1.0,11.38
21,5.19488,3.0,0.09544717,5.54,-8.32,12,2,1.424474187,8.79
22,4.14902,4.0,0.081531155,3.5213,-7.1864300000000005,28,4,1.0,7.49817
23,7.76088,2.0,0.068248904,2.2382,-6.3358300000000005,39,6,3.71583534,2.75783
24,7.73964,2.0,0.058651456,2.8139999999999996,-6.668589999999999,39,6,3.415228242,1.7990599999999999
25,8.07361,3.0,0.06332921700000001,1.9733,-5.98298,8,2,3.231880402,2.3244599999999997
26,5.0852,4.0,0.109557024,2.8001,-8.450280000000001,28,4,1.0,19.3308
27,7.710430000000001,4.0,0.108931473,3.6319,-8.82655,28,4,1.0,17.4699
28,5.26864,1.33,0.064757403,0.7847,-4.73709,14,2,0.643016199,3.57166
29,6.1263,3.0,0.076486749,0.0,-6.38738,45,7,1.0,7.22743
30,6.5102199999999995,3.0,0.070453892,0.0,-7.90658,45,7,1.0,11.8894
31,6.771160000000001,1.5,0.074145473,0.0,-8.41735,21,4,1.961882999,12.4976
32,6.85988,1.28,0.07537967,0.0,-8.54905,21,4,2.965665211,10.4578
33,6.61382,3.0,0.065504872,0.0,-6.11406,45,7,1.0,7.688
34,5.78831,3.0,0.074729368,2.1335,-7.456589999999999,45,7,1.0,16.6821
35,5.953130000000001,3.0,0.064817215,3.04,-8.29,45,7,1.0,14.01
36,5.81724,2.0,0.057045066,2.98,-7.64,26,4,1.0,6.46
37,5.38592,2.0,0.056837827,1.6271,-5.92321,30,1,1.14282948,1.9919799999999999
38,5.37215,0.33,0.029589476,0.0,-4.29668,45,7,1.0,2.87552
39,5.92248,3.0,0.07422169299999999,0.6679,-6.87131,39,6,1.640687864,2.63685
40,5.5749,3.0,0.07197403200000001,2.1853,-7.453539999999999,39,6,2.440520388,4.05023
41,7.583130000000001,3.0,0.072277523,1.1112,-5.7413,17,2,1.2909093999999999,4.5882
42,7.20987,3.0,0.071901064,0.6582,-6.81963,45,7,1.0,8.83105
43,6.02418,4.0,0.067199032,2.7616,-6.99725,28,4,1.0,3.7202599999999997
44,8.412889999999999,3.0,0.08198670200000001,1.5949,-6.87782,12,2,1.433593259,3.7817800000000004
45,8.31948,3.0,0.080078156,1.4018,-6.2742,12,2,1.436041105,12.5194
46,10.7112,3.5,0.077597579,0.0,-6.0522599999999995,48,7,1.0,3.2932699999999997
47,9.452760000000001,3.0,0.07908920900000001,0.9063,-5.66964,12,2,1.439931125,2.5402099999999996
48,8.71659,3.5,0.078478376,0.0,-5.69159,48,7,1.0,2.64462
49,7.992310000000001,3.5,0.068996879,2.6269,-5.907719999999999,48,7,1.0,2.57836
50,7.23387,3.5,0.07657874,2.8929,-7.03908,48,7,1.0,3.8907199999999995
51,4.30202,3.0,0.09057495199999999,0.0,-6.85,45,7,1.0,7.54051
52,4.84192,1.714,0.094572932,0.0,-7.3890899999999995,29,1,1.0,1.7457799999999999
53,4.8952,3.0,0.071286609,0.6888,-5.98838,45,7,1.0,9.29177
54,3.7485199999999996,3.0,0.083006289,2.3664,-7.4703100000000004,45,7,1.0,21.6331
55,4.12971,3.0,0.069348128,3.21,-8.15,45,7,1.0,15.29
56,3.8454800000000002,3.0,0.085153489,2.7874,-7.523060000000001,27,4,1.011755755,14.4852
57,3.6966099999999997,0.33,0.043662020999999995,0.0,-4.57653,45,7,1.0,7.7961
58,4.10294,3.0,0.08638338699999999,0.9363,-6.8459699999999994,39,6,1.708765345,3.07098
59,4.34883,3.0,0.091560418,0.4469,-6.93377,12,2,1.398581755,3.30019
60,4.29127,3.5,0.075209561,1.7677,-8.01925,48,7,1.0,8.92813
61,5.39781,3.0,0.08510239900000001,0.2367,-5.91972,12,2,1.431930973,3.53915
62,3.8699800000000004,3.0,0.085696045,2.8956,-7.546819999999999,12,2,1.4253263790000001,8.4113
63,4.47117,3.0,0.07508634900000001,3.82,-8.34,12,2,1.3893653519999998,6.98
64,6.2483699999999995,3.5,0.07470669099999999,2.4623,-8.43551,48,7,1.0,9.72
65,4.54336,2.0,0.072865433,2.457,-6.326280000000001,7,2,2.9547180269999997,4.51284
66,7.88122,1.0,0.07392266900000001,0.0,-3.7980400000000003,47,7,1.0,6.91602
67,10.8692,2.0,0.082472186,0.5795,-4.856240000000001,14,2,0.507189975,3.78171
68,6.22351,3.0,0.07464172,1.4565,-5.67192,31,3,0.9232951620000001,4.88431
69,6.35358,2.0,0.084789389,1.7656,-5.29546,48,7,1.0,3.00565
70,6.73527,2.0,0.069924132,1.0847,-5.174980000000001,28,4,1.0,2.43277
71,6.729830000000001,2.0,0.069867601,1.0826,-5.17502,48,7,1.0,2.44492
72,5.3990800000000005,2.0,0.079500735,1.5225,-6.50245,28,4,1.0,2.43845
73,6.28799,1.0,0.058978782,0.0,-3.78289,35,3,1.580611803,1.6641700000000001
74,7.1842,2.0,0.079234818,1.8886,-5.14331,48,7,1.0,2.28661
75,6.5018400000000005,3.5,0.082411202,1.9621,-6.68657,48,7,1.0,2.65607
76,5.98381,3.5,0.075845069,2.0818,-6.9676800000000005,48,7,1.0,5.6713
77,7.10473,3.0,0.076649791,0.4471,-5.09004,12,2,1.448867486,2.37723
78,5.9985599999999994,3.0,0.08670846,2.6187,-6.3604199999999995,12,0,1.4090443380000002,4.97296
79,6.29411,3.0,0.08967122,0.4566,-6.26122,12,2,1.4560680330000002,4.43936
80,6.79017,3.5,0.077510367,0.4798,-5.36123,48,7,1.0,2.95423
81,7.93969,3.5,0.075274667,2.1174,-7.38325,48,7,1.0,5.63437
82,6.14323,2.0,0.076855582,1.4193,-4.03947,41,6,1.0,2.15515
83,4.70755,1.0,0.044950082999999995,1.3562,-3.5690800000000005,11,2,1.6864680440000002,0.492799
84,6.1915,2.0,0.082360208,1.1565,-5.47771,48,7,1.0,3.10202
85,7.18237,2.0,0.074298542,0.3593,-4.75786,7,2,3.0841487219999997,1.9816
86,4.54933,4.0,0.06444787,2.5168,-8.17348,28,4,1.0,4.55947
87,4.99028,1.0,0.080211116,2.4661,-5.8269,43,6,1.0,7.1288800000000005
88,5.58305,3.0,0.086408765,0.0,-5.67577,45,7,1.0,5.97575
89,10.6579,2.0,0.08671146800000001,0.6013,-5.23445,14,2,0.520120768,4.44125
90,3.6298800000000004,2.0,0.06724440799999999,1.0851,-5.074319999999999,23,4,2.080478459,3.4106699999999996
91,6.28068,3.0,0.085437631,0.8758,-6.12248,24,4,1.99303911,6.783860000000001
92,4.9955,1.0,0.080295165,1.7992,-5.84584,35,3,1.591391631,4.8558900000000005
93,6.77222,2.0,0.08684109300000001,1.9280000000000002,-5.7203800000000005,48,7,1.0,3.5876
94,5.23267,3.0,0.084758692,3.1938,-5.53372,12,2,1.511270452,4.29365
95,5.984380000000001,3.5,0.08374699299999999,1.0262,-5.954359999999999,48,7,1.0,3.85485
96,6.48151,3.0,0.081692405,1.7885,-8.08312,45,7,1.0,16.9784
97,5.16477,2.0,0.11108889300000001,0.0,-7.270289999999999,47,7,1.0,18.8664
98,5.32897,2.0,0.08700456300000001,2.5906,-6.409009999999999,39,6,3.758609209,4.84194
99,5.88616,4.0,0.07508587900000001,0.2367,-7.68682,28,4,1.0,5.8604400000000005
100,5.76995,4.0,0.074213798,0.2425,-7.68734,28,4,1.0,5.7556
101,4.04124,2.0,0.079084205,3.082,-6.44653,39,6,3.847374903,8.42349
102,4.65182,2.0,0.100055865,0.0,-7.467460000000001,24,4,0.663746983,9.66821
103,3.75947,4.0,0.09242856,2.3387,-7.59243,13,2,1.3312045890000002,16.0695
104,5.5207,4.0,0.072558848,0.2556,-7.692360000000001,28,4,1.0,6.18622
105,3.78281,4.0,0.081878288,2.0747,-7.805160000000001,13,2,1.226663865,11.8175
106,7.0709100000000005,2.0,0.080871097,1.5799,-6.55242,48,7,1.0,2.51445
107,4.18264,2.0,0.091692046,4.2776,-7.4793899999999995,48,4,1.0,6.52669
108,4.18185,2.0,0.091674634,4.2825,-7.4793899999999995,48,7,1.0,6.62558
109,4.6419999999999995,2.0,0.08777869699999999,3.2627,-8.023610000000001,48,7,1.0,4.58145
110,5.526269999999999,3.0,0.091431822,1.5291,-6.905989999999999,24,4,1.99197997,6.43882
111,6.48988,3.0,0.09163942900000001,1.3326,-8.2221,24,4,1.9466182109999999,8.187000000000001
112,4.95407,2.0,0.106556795,0.0,-7.358630000000001,41,6,1.0,8.31568
113,5.20196,2.0,0.093966038,4.3144,-7.0533600000000005,28,4,0.99819974,6.59846
114,5.20069,2.0,0.093943339,4.3264,-7.053380000000001,48,7,1.0,6.61192
115,4.221019999999999,2.0,0.044507744,1.2829,-4.26136,13,2,0.82428564,1.4559799999999998
116,4.41627,2.0,0.048190739,1.9729,-5.62294,48,7,1.0,1.23159
117,5.56123,2.0,0.052780892999999995,2.84,-6.92,39,6,3.854341737,23.2336
118,4.6894800000000005,0.67,0.034622442,1.4945,-3.52205,24,4,1.2007353790000002,0.48822299999999996
119,6.10941,2.0,0.08903996,1.0375,-5.03943,39,6,3.8357123630000003,4.52881
120,6.23075,2.0,0.071347032,0.4446,-4.90755,39,6,3.49947437,2.52247
121,5.96773,1.0,0.090359745,0.0,-4.17131,2,0,1.7586718890000002,1.43012
122,5.3465,1.5,0.073535089,0.0,-4.8533,14,2,0.5786578520000001,5.34777
123,4.33637,2.0,0.074345988,2.6414,-6.7324399999999995,39,6,3.486913658,4.74294
124,5.18432,2.0,0.06818085,0.0,-5.18657,13,2,0.47712667799999997,4.2935300000000005
125,4.87204,2.0,0.063626892,2.7617,-7.05577,39,6,3.225850798,3.18158
126,5.45089,1.67,0.073621439,0.0,-4.981319999999999,14,2,0.35169984299999996,3.63613
127,6.01944,0.5,0.076000162,0.6558,-3.6167,46,7,1.0,0.253177
128,5.78034,1.33,0.072878153,1.5995,-4.47772,47,7,1.0,1.60525
129,5.857469999999999,0.75,0.081712698,0.0653,-3.9859699999999996,28,4,1.0,0.710014
130,6.31819,4.0,0.082286467,2.7789,-8.11733,16,2,1.0,6.29261
131,5.5842,4.0,0.072726832,2.9629,-8.1556,28,4,1.0,5.50685
132,9.10692,3.5,0.075981543,3.2266,-9.374130000000001,48,7,1.0,5.89607
133,7.544389999999999,3.5,0.074108009,2.2087,-7.108389999999999,48,7,1.0,4.16156
134,6.62585,3.5,0.082380343,3.2411,-8.27656,48,7,1.0,6.58845
135,6.92329,3.5,0.085107041,0.8467,-8.20289,48,7,1.0,3.0552799999999998
136,9.335280000000001,3.5,0.076963442,3.01,-9.36,48,7,1.0,59.6369
137,7.764589999999999,3.5,0.075209304,2.173,-7.10082,48,7,1.0,4.270980000000001
138,7.764589999999999,3.5,0.075209304,2.173,-7.10082,48,7,1.0,4.270980000000001
139,6.8467899999999995,3.5,0.083633018,3.1172,-8.27537,48,7,1.0,6.58502
140,6.581739999999999,3.0,0.079957271,0.7569,-9.07705,45,7,1.0,14.8487
141,6.40838,3.0,0.079489234,0.5431,-7.458260000000001,45,7,1.0,13.9237
142,5.9131599999999995,1.0,0.099127676,0.0,-6.39801,47,7,1.0,9.94482
143,5.04615,2.0,0.069275225,0.0,-6.41134,21,4,0.860585068,11.087
144,5.32906,3.0,0.083807123,0.0,-6.422969999999999,45,7,1.0,8.0483
145,5.17095,2.75,0.078902999,0.0,-6.48661,14,2,0.814980328,3.2631099999999997
146,5.26527,2.0,0.073321846,3.7068,-8.31499,4,0,0.7616519390000001,4.24501
147,5.29012,4.0,0.07022595200000001,2.9412,-9.66418,28,4,1.0,5.37694
148,8.75272,3.5,0.074005053,3.4526,-11.0309,48,7,1.0,5.86094
