mass_density,ratio_oxygen_by_transition_metal_atom,Bravias_lattice.BCT,Bravias_lattice.CUB,Bravias_lattice.FCC,Bravias_lattice.HEX,Bravias_lattice.MCL,Bravias_lattice.MCLC,Bravias_lattice.ORC,Bravias_lattice.ORCC,Bravias_lattice.RHL,Bravias_lattice.TET,ratio_atoms_cell_by_cell_vol,electronic_energy_band_gap,energy_atom,point_group,c_by_a_ratio.,AGL_bulk_mod,AGL_thermal_conductivity
5.28629,1,0,0,1,0,0,0,0,0,0,0,0.06503205,0,-2.89484,24,1,51.0816,2.4349
6.45335,3,0,1,0,0,0,0,0,0,0,0,0.078109256,1.7706,-6.76521,48,1,182.054,12.2468
6.06196,2,0,0,0,1,0,0,0,0,0,0,0.087518734,1.6901,-5.50833,24,4.258978642,146.471,4.10466
7.25634,2,0,0,0,1,0,0,0,0,0,0,0.087924842,1.8904,-4.36026,24,4.279766675,153.361,2.95475
6.99145,2,0,0,0,1,0,0,0,0,0,0,0.080348633,0.9858,-4.49855,24,4.154988111,129.598,2.33078
6.88202,2,0,0,0,1,0,0,0,0,0,0,0.065090924,0.6242,-4.37448,24,3.85971333,103.286,1.492
5.20261,2,0,0,0,1,0,0,0,0,0,0,0.067806954,2.4628,-6.18435,24,3.845535045,112.849,2.61324
5.53412,2,0,0,0,1,0,0,0,0,0,0,0.058271238,2.5359,-6.4977,24,3.575256718,98.1076,2.28828
5.24078,2,0,0,0,0,0,0,1,0,0,0,0.075662997,1.4608,-5.53243,4,1.290807171,120.008,2.40141
3.86428,1,1,0,0,0,0,0,0,0,0,0,0.042839395,1.504,-2.98254,8,1,33.8962,0.691056
5.88821,2,0,0,1,0,0,0,0,0,0,0,0.066072642,2.7337,-5.38332,48,1,121.466,1.57588
6.5045,0.25,0,0,1,0,0,0,0,0,0,0,0.070548728,0.6067,-4.98983,48,1,127.261,2.47715
6.62411,0.5,0,1,0,0,0,0,0,0,0,0,0.051642223,0.0868,-2.11465,48,1,50.0423,0.0174529
4.47728,1,1,0,0,0,0,0,0,0,0,0,0.038640623,1.4461,-2.90303,8,1,30.841,0.545209
8.32514,1.2,0,0,0,1,0,0,0,0,0,0,0.062087476,0,-3.58419,12,1.079109282,82.1727,0.452188
6.27993,1.33,0,1,0,0,0,0,0,0,0,0,0.065412652,0.4311,-4.01044,24,1,90.4714,0.747144
6.08172,1.33,0,1,0,0,0,0,0,0,0,0,0.069999213,0.8715,-4.55679,24,1,102.523,1.07225
6.31276,3,0,1,0,0,0,0,0,0,0,0,0.088870878,3.1268,-7.89861,48,1,184.401,22.272
4.98403,2,0,0,0,1,0,0,0,0,0,0,0.09798542,2.015,-6.06713,24,3.958898372,165.81,8.57476
4.50072,3,0,0,0,1,0,0,0,0,0,0,0.082692467,3.5,-8.24,24,3.289398281,165.987,9.925
4.28096,2,0,0,1,0,0,0,0,0,0,0,0.102017766,5.4135,-7.07695,48,1,185.265,11.38
5.19488,3,0,0,0,0,0,0,1,0,0,0,0.09544717,5.54,-8.32,8,1.424474187,192.898,8.79
4.14902,4,1,0,0,0,0,0,0,0,0,0,0.081531155,3.5213,-7.18643,16,1,166.403,7.49817
7.76088,2,0,0,0,1,0,0,0,0,0,0,0.068248904,2.2382,-6.33583,24,3.71583534,125.86,2.75783
7.73964,2,0,0,0,1,0,0,0,0,0,0,0.058651456,2.814,-6.66859,24,3.415228242,109.392,1.79906
8.07361,3,0,0,0,0,0,0,1,0,0,0,0.063329217,1.9733,-5.98298,8,3.231880402,128.066,2.32446
5.0852,4,1,0,0,0,0,0,0,0,0,0,0.109557024,2.8001,-8.45028,16,1,273.253,19.3308
7.71043,4,1,0,0,0,0,0,0,0,0,0,0.108931473,3.6319,-8.82655,16,1,285.595,17.4699
5.26864,1.33,0,0,0,0,0,0,0,1,0,0,0.064757403,0.7847,-4.73709,8,0.643016199,96.7633,3.57166
6.1263,3,0,1,0,0,0,0,0,0,0,0,0.076486749,0,-6.38738,48,1,112.258,7.22743
6.51022,3,0,1,0,0,0,0,0,0,0,0,0.070453892,0,-7.90658,48,1,161.018,11.8894
6.77116,1.5,0,0,0,0,0,0,0,0,0,1,0.074145473,0,-8.41735,16,1.961882999,196.584,12.4976
6.85988,1.28,0,0,0,0,0,0,0,0,0,1,0.07537967,0,-8.54905,16,2.965665211,208.417,10.4578
6.61382,3,0,1,0,0,0,0,0,0,0,0,0.065504872,0,-6.11406,48,1,115.805,7.688
5.78831,3,0,1,0,0,0,0,0,0,0,0,0.074729368,2.1335,-7.45659,48,1,152.929,16.6821
5.95313,3,0,1,0,0,0,0,0,0,0,0,0.064817215,3.04,-8.29,48,1,142.409,14.01
5.81724,2,1,0,0,0,0,0,0,0,0,0,0.057045066,2.98,-7.64,16,1,111.192,6.46
5.38592,2,0,0,0,1,0,0,0,0,0,0,0.056837827,1.6271,-5.92321,6,1.14282948,80.9206,1.99198
5.37215,0.33,0,1,0,0,0,0,0,0,0,0,0.029589476,0,-4.29668,48,1,34.2582,2.87552
5.92248,3,0,0,0,1,0,0,0,0,0,0,0.074221693,0.6679,-6.87131,24,1.640687864,113.571,2.63685
5.5749,3,0,0,0,1,0,0,0,0,0,0,0.071974032,2.1853,-7.45354,24,2.440520388,144.107,4.05023
7.58313,3,0,0,0,0,0,0,0,0,0,1,0.072277523,1.1112,-5.7413,8,1.2909094,130.719,4.5882
7.20987,3,1,0,0,0,0,0,0,0,0,0,0.071901064,0.6582,-6.81963,48,1,94.0575,8.83105
6.02418,4,0,1,0,0,0,0,0,0,0,0,0.067199032,2.7616,-6.99725,16,1,135.508,3.72026
8.41289,3,1,0,0,0,0,0,0,0,0,0,0.081986702,1.5949,-6.87782,8,1.433593259,142.569,3.78178
8.31948,3,0,0,0,0,0,0,1,0,0,0,0.080078156,1.4018,-6.2742,8,1.436041105,166.366,12.5194
10.7112,3.5,0,0,0,0,0,0,1,0,0,0,0.077597579,0,-6.05226,48,1,182.957,3.29327
9.45276,3,0,0,1,0,0,0,0,0,0,0,0.079089209,0.9063,-5.66964,8,1.439931125,185.644,2.54021
8.71659,3.5,0,0,0,0,0,0,1,0,0,0,0.078478376,0,-5.69159,48,1,171.947,2.64462
7.99231,3.5,0,0,1,0,0,0,0,0,0,0,0.068996879,2.6269,-5.90772,48,1,171.19,2.57836
7.23387,3.5,0,0,1,0,0,0,0,0,0,0,0.07657874,2.8929,-7.03908,48,1,142.607,3.89072
4.30202,3,0,1,0,0,0,0,0,0,0,0,0.090574952,0,-6.85,48,1,125.998,7.54051
4.84192,1.714,0,0,0,0,0,0,0,0,1,0,0.094572932,0,-7.38909,6,1,164.628,1.74578
4.8952,3,0,1,0,0,0,0,0,0,0,0,0.071286609,0.6888,-5.98838,48,1,129.015,9.29177
3.74852,3,0,1,0,0,0,0,0,0,0,0,0.083006289,2.3664,-7.47031,48,1,164.107,21.6331
4.12971,3,0,1,0,0,0,0,0,0,0,0,0.069348128,3.21,-8.15,48,1,149.232,15.29
3.84548,3,1,0,0,0,0,0,0,0,0,0,0.085153489,2.7874,-7.52306,16,1.011755755,167.779,14.4852
3.69661,0.33,0,1,0,0,0,0,0,0,0,0,0.043662021,0,-4.57653,48,1,51.5487,7.7961
4.10294,3,0,0,0,1,0,0,0,0,0,0,0.086383387,0.9363,-6.84597,24,1.708765345,136.953,3.07098
4.34883,3,0,0,0,0,0,0,1,0,0,0,0.091560418,0.4469,-6.93377,8,1.398581755,132.775,3.30019
4.29127,3.5,0,0,1,0,0,0,0,0,0,0,0.075209561,1.7677,-8.01925,48,1,171.408,8.92813
5.39781,3,0,0,0,0,0,0,1,0,0,0,0.085102399,0.2367,-5.91972,8,1.431930973,159.993,3.53915
3.86998,3,0,0,0,0,0,0,1,0,0,0,0.085696045,2.8956,-7.54682,8,1.425326379,169.034,8.4113
4.47117,3,0,0,0,0,0,0,1,0,0,0,0.075086349,3.82,-8.34,8,1.389365352,159.859,6.98
6.24837,3.5,0,0,1,0,0,0,0,0,0,0,0.074706691,2.4623,-8.43551,48,1,179.863,9.72
4.54336,2,0,0,0,0,0,0,1,0,0,0,0.072865433,2.457,-6.32628,8,2.954718027,120.41,4.51284
7.88122,1,0,0,1,0,0,0,0,0,0,0,0.073922669,0,-3.79804,48,1,119.636,6.91602
10.8692,2,0,0,0,0,0,0,0,1,0,0,0.082472186,0.5795,-4.85624,8,0.507189975,192.442,3.78171
6.22351,3,0,0,0,1,0,0,0,0,0,0,0.07464172,1.4565,-5.67192,12,0.923295162,151.986,4.88431
6.35358,2,0,0,1,0,0,0,0,0,0,0,0.084789389,1.7656,-5.29546,48,1,151.617,3.00565
6.73527,2,1,0,0,0,0,0,0,0,0,0,0.069924132,1.0847,-5.17498,16,1,127.064,2.43277
6.72983,2,0,0,1,0,0,0,0,0,0,0,0.069867601,1.0826,-5.17502,48,1,127.111,2.44492
5.39908,2,1,0,0,0,0,0,0,0,0,0,0.079500735,1.5225,-6.50245,16,1,131.563,2.43845
