iter	Passed	Remaining
0	27	55210
1	54	54370
2	79	53208
3	81	40760
4	86	34552
5	98	32683
6	125	35657
7	150	37570
8	176	39031
9	202	40266
10	227	41131
11	252	41890
12	277	42440
13	279	39597
14	303	40194
15	329	40898
16	355	41454
17	381	41968
18	406	42414
19	432	42788
20	457	43126
21	482	43386
22	512	44011
23	543	44727
24	572	45237
25	597	45397
26	624	45624
27	649	45716
28	673	45763
29	674	44259
30	697	44329
31	723	44474
32	747	44549
33	771	44628
34	772	43360
35	776	42377
36	801	42505
37	825	42599
38	826	41535
39	850	41662
40	875	41842
41	900	41978
42	924	42093
43	925	41158
44	928	40335
45	976	41499
46	977	40616
47	1001	40742
48	1026	40855
49	1050	40981
50	1075	41086
51	1075	40305
52	1101	40455
53	1127	40636
54	1152	40766
55	1177	40889
56	1204	41074
57	1229	41170
58	1254	41257
59	1278	41339
60	1289	40997
61	1314	41099
62	1319	40566
63	1343	40644
64	1368	40728
65	1392	40811
66	1417	40886
67	1441	40946
68	1445	40458
69	1470	40531
70	1494	40604
71	1519	40681
72	1543	40746
73	1568	40823
74	1569	40271
75	1593	40338
76	1618	40424
77	1643	40499
78	1670	40612
79	1694	40668
80	1718	40725
81	1745	40827
82	1747	40353
83	1771	40399
84	1796	40471
85	1821	40530
86	1822	40079
87	1846	40129
88	1871	40185
89	1895	40233
90	1920	40283
91	1944	40334
92	1969	40388
93	1995	40456
94	1996	40039
95	2021	40089
96	2045	40135
97	2070	40176
98	2080	39958
99	2081	39556
100	2106	39598
101	2132	39676
102	2135	39328
103	2160	39394
104	2162	39026
105	2187	39081
106	2212	39135
107	2238	39220
108	2263	39276
109	2288	39318
110	2312	39356
111	2336	39391
112	2361	39428
113	2385	39462
114	2409	39494
115	2435	39549
116	2436	39208
117	2460	39240
118	2484	39273
119	2508	39304
120	2533	39338
121	2557	39372
122	2582	39403
123	2607	39442
124	2631	39468
125	2631	39144
126	2656	39171
127	2680	39196
128	2704	39229
129	2729	39259
130	2753	39281
131	2778	39314
132	2802	39346
133	2827	39374
134	2851	39395
135	2876	39419
136	2900	39443
137	2926	39488
138	2951	39520
139	2975	39535
140	3000	39556
141	3024	39572
142	3025	39293
143	3050	39311
144	3073	39325
145	3098	39343
146	3123	39369
147	3147	39385
148	3172	39412
149	3197	39436
150	3222	39453
151	3248	39497
152	3275	39539
153	3300	39563
154	3327	39602
155	3351	39622
156	3376	39639
157	3400	39648
158	3424	39654
159	3448	39662
160	3473	39672
161	3497	39676
162	3498	39422
163	3522	39433
164	3547	39449
165	3571	39462
166	3596	39473
167	3596	39222
168	3597	38975
169	3621	38987
170	3645	38995
171	3671	39024
172	3696	39040
173	3721	39052
174	3745	39064
175	3770	39073
176	3794	39084
177	3819	39096
178	3844	39106
179	3868	39113
180	3892	39121
181	3917	39131
182	3941	39134
183	3945	38945
184	3970	38952
185	3994	38958
186	4005	38836
187	4029	38840
188	4034	38656
189	4058	38666
190	4082	38670
191	4107	38675
192	4131	38681
193	4155	38686
194	4180	38698
195	4205	38704
196	4229	38708
197	4254	38717
198	4278	38721
199	4303	38727
200	4327	38731
201	4353	38754
202	4356	38566
203	4382	38582
204	4408	38600
205	4433	38607
206	4459	38628
207	4484	38637
208	4509	38639
209	4533	38642
210	4557	38638
211	4581	38641
212	4606	38646
213	4630	38648
214	4655	38648
215	4679	38650
216	4684	38487
217	4708	38489
218	4732	38487
219	4756	38488
220	4781	38491
221	4808	38510
222	4833	38514
223	4857	38516
224	4882	38515
225	4906	38514
226	4931	38515
227	4955	38514
228	4966	38412
229	4991	38415
230	5002	38312
231	5027	38315
232	5051	38310
233	5075	38307
234	5100	38307
235	5124	38304
236	5148	38301
237	5173	38298
238	5197	38298
239	5222	38297
240	5246	38295
241	5271	38294
242	5296	38297
243	5321	38300
244	5322	38126
245	5347	38125
246	5371	38125
247	5396	38123
248	5420	38121
249	5445	38116
250	5469	38115
251	5495	38120
252	5520	38122
253	5546	38125
254	5572	38131
255	5599	38146
256	5625	38155
257	5650	38151
258	5675	38147
259	5699	38140
260	5723	38133
261	5747	38124
262	5772	38122
263	5796	38118
264	5821	38114
265	5845	38106
266	5869	38099
267	5894	38092
268	5918	38085
269	5943	38081
270	5954	37988
271	5978	37979
272	6002	37972
273	6026	37965
274	6050	37954
275	6074	37946
276	6098	37932
277	6122	37924
278	6147	37920
279	6171	37910
280	6196	37907
281	6220	37897
282	6245	37890
283	6270	37885
284	6294	37876
285	6295	37728
286	6319	37720
287	6344	37713
288	6368	37706
289	6393	37700
290	6418	37696
291	6443	37687
292	6466	37674
293	6491	37670
294	6517	37666
295	6541	37658
296	6543	37517
297	6543	37373
298	6568	37365
299	6592	37356
300	6616	37347
301	6643	37353
302	6668	37350
303	6693	37343
304	6718	37339
305	6723	37218
306	6748	37216
307	6773	37212
308	6798	37206
309	6823	37198
310	6825	37070
311	6850	37060
312	6874	37053
313	6899	37043
314	6923	37034
315	6948	37027
316	6972	37016
317	6996	37007
318	7020	36997
319	7021	36862
320	7045	36852
321	7069	36842
322	7093	36830
323	7118	36820
324	7119	36693
325	7143	36684
326	7168	36673
327	7172	36562
328	7175	36442
329	7200	36437
330	7224	36428
331	7248	36418
332	7272	36407
333	7296	36397
334	7321	36387
335	7345	36377
336	7369	36367
337	7394	36358
338	7418	36349
339	7429	36275
340	7441	36201
341	7465	36191
342	7466	36071
343	7491	36061
344	7515	36052
345	7539	36042
346	7564	36033
347	7588	36023
348	7612	36012
349	7636	36000
350	7660	35990
351	7687	35990
352	7712	35985
353	7737	35976
354	7764	35980
355	7790	35976
356	7815	35968
357	7839	35957
358	7863	35944
359	7888	35934
360	7912	35921
361	7936	35910
362	7960	35899
363	7985	35888
364	8009	35877
365	8033	35865
366	8058	35855
367	8082	35844
368	8106	35831
369	8131	35821
370	8155	35811
371	8180	35800
372	8204	35789
373	8229	35777
374	8253	35765
375	8278	35754
376	8302	35740
377	8326	35727
378	8336	35657
379	8361	35646
380	8386	35636
381	8411	35626
382	8435	35613
383	8459	35599
384	8484	35588
385	8508	35577
386	8509	35466
387	8533	35453
388	8557	35439
389	8581	35427
390	8606	35415
391	8608	35313
392	8632	35300
393	8657	35288
394	8681	35275
395	8685	35182
396	8710	35169
397	8734	35157
398	8759	35146
399	8783	35135
400	8808	35123
401	8833	35114
402	8858	35105
403	8884	35098
404	8910	35090
405	8935	35083
406	8946	35017
407	8948	34915
408	8972	34903
409	8997	34892
410	9021	34879
411	9026	34790
412	9050	34778
413	9075	34765
414	9100	34755
415	9100	34652
416	9125	34642
417	9150	34632
418	9175	34620
419	9199	34608
420	9223	34594
421	9248	34581
422	9272	34568
423	9276	34481
424	9300	34467
425	9324	34452
426	9348	34438
427	9373	34428
428	9398	34415
429	9422	34404
430	9447	34391
431	9471	34377
432	9495	34364
433	9496	34265
434	9496	34166
435	9521	34153
436	9544	34138
437	9545	34042
438	9571	34033
439	9596	34023
440	9620	34010
441	9645	33997
442	9669	33985
443	9670	33889
444	9680	33828
445	9705	33815
446	9729	33802
447	9753	33790
448	9778	33778
449	9803	33766
450	9827	33752
451	9853	33745
452	9879	33738
453	9905	33729
454	9909	33649
455	9934	33637
456	9960	33630
457	9985	33618
458	9986	33528
459	10011	33516
460	10035	33501
461	10059	33488
462	10084	33478
463	10109	33465
464	10133	33451
465	10158	33438
466	10182	33426
467	10207	33414
468	10231	33400
469	10256	33387
470	10280	33373
471	10304	33360
472	10309	33282
473	10333	33268
474	10357	33254
475	10383	33244
476	10407	33230
477	10432	33218
478	10456	33204
479	10481	33190
480	10505	33176
481	10529	33161
482	10553	33146
483	10558	33070
484	10582	33056
485	10606	33042
486	10630	33027
487	10655	33013
488	10679	32999
489	10704	32986
490	10728	32972
491	10753	32958
492	10753	32872
493	10764	32817
494	10789	32804
495	10813	32789
496	10837	32775
497	10861	32759
498	10862	32673
499	10886	32658
500	10910	32643
501	10936	32635
502	10961	32624
503	10987	32613
504	11012	32601
505	11025	32552
506	11049	32539
