"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Debye_temp","AGL_Gruneisen_parameter","AGL_thermal_conductivity"
"1",6.62411,0.5,0.051642223,0.0868,-2.11465,48,1,50.0423,30.818,2.48656,0.0174529
"2",6.01944,0.5,0.076000162,0.6558,-3.6167,48,1,97.0286,85.8501,2.25972,0.253177
"3",8.32514,1.2,0.062087476,0,-3.58419,12,1.079109282,82.1727,82.081,2.40299,0.452188
"4",4.68948,0.67,0.034622442,1.4945,-3.52205,16,1.200735379,27.3577,75.1279,2.23058,0.488223
"5",4.70755,1,0.044950083,1.3562,-3.56908,8,1.686468044,40.105,79.5751,2.21737,0.492799
"6",4.47728,1,0.038640623,1.4461,-2.90303,8,1,30.841,86.4845,2.35511,0.545209
"7",3.86428,1,0.042839395,1.504,-2.98254,8,1,33.8962,102.209,2.33473,0.691056
"8",7.95705,0.25,0.056500025,0,-7.46993,48,1,143.869,75.4136,2.03848,0.700031
"9",5.85747,0.75,0.081712698,0.0653,-3.98597,16,1,116.163,113.271,2.21611,0.710014
"10",6.27993,1.33,0.065412652,0.4311,-4.01044,24,1,90.4714,102.784,2.28457,0.747144
"11",6.08172,1.33,0.069999213,0.8715,-4.55679,24,1,102.523,116.674,2.17823,1.07225
"12",4.41627,2,0.048190739,1.9729,-5.62294,48,1,67.1517,117.5,2.01307,1.23159
"13",5.96773,1,0.090359745,0,-4.17131,4,1.758671889,136.881,171.349,2.22573,1.43012
"14",4.22102,2,0.044507744,1.2829,-4.26136,8,0.82428564,51.9207,131,2.23128,1.45598
"15",5.64167,1.5,0.052139206,3.5256,-8.15204,24,1,109.882,100.294,2.03655,1.46822
"16",6.88202,2,0.065090924,0.6242,-4.37448,24,3.85971333,103.286,135,2.2767,1.492
"17",5.88821,2,0.066072642,2.7337,-5.38332,48,1,121.466,130.698,2.13348,1.57588
"18",5.78034,1.33,0.072878153,1.5995,-4.47772,48,1,112.174,143.54,2.27498,1.60525
"19",6.28799,1,0.058978782,0,-3.78289,12,1.580611803,87.9671,144.891,2.18795,1.66417
"20",2.8443,3,0.084378098,3.2388,-5.96572,24,1,132.098,168.992,2.11036,1.67057
"21",4.13452,3,0.060140629,2.0808,-5.4556,24,1,101.58,135.981,2.23936,1.74422
"22",4.84192,1.714,0.094572932,0,-7.38909,6,1,164.628,207.779,2.99979,1.74578
"23",7.73964,2,0.058651456,2.814,-6.66859,24,3.415228242,109.392,126.5,2.14774,1.79906
"24",8.15424,3.5,0.08565744,0,-5.97745,48,1,144.371,152.389,2.59711,1.86119
"25",7.18237,2,0.074298542,0.3593,-4.75786,8,3.084148722,133.082,145.635,2.27363,1.9816
"26",5.38592,2,0.056837827,1.6271,-5.92321,6,1.14282948,80.9206,134.968,2.05843,1.99198
"27",6.14323,2,0.076855582,1.4193,-4.03947,24,1,108.988,158.555,2.19089,2.15515
"28",7.1842,2,0.079234818,1.8886,-5.14331,48,1,169.317,156.007,2.25049,2.28661
"29",5.53412,2,0.058271238,2.5359,-6.4977,24,3.575256718,98.1076,148,2.05584,2.28828
"30",8.07361,3,0.063329217,1.9733,-5.98298,8,3.231880402,128.066,130.415,2.22988,2.32446
"31",2.82789,3,0.069089879,0,-6.9524,8,0.916087049,118.691,196.339,2.06175,2.32607
"32",6.99145,2,0.080348633,0.9858,-4.49855,24,4.154988111,129.598,169.5,2.24994,2.33078
"33",7.10473,3,0.076649791,0.4471,-5.09004,8,1.448867486,143.227,153.624,2.3211,2.37723
"34",5.24078,2,0.075662997,1.4608,-5.53243,4,1.290807171,120.008,157.55,2.02628,2.40141
"35",6.73527,2,0.069924132,1.0847,-5.17498,16,1,127.064,150.614,2.18355,2.43277
"36",5.28629,1,0.06503205,0,-2.89484,24,1,51.0816,191.368,2.24943,2.4349
"37",5.39908,2,0.079500735,1.5225,-6.50245,16,1,131.563,177.998,2.29446,2.43845
"38",7.14268,2.5,0.067844651,1.8389,-6.5538,8,0.839451388,139.709,143.089,2.20758,2.44396
"39",6.72983,2,0.069867601,1.0826,-5.17502,48,1,127.111,151.028,2.18682,2.44492
"40",6.5045,0.25,0.070548728,0.6067,-4.98983,48,1,127.261,163.203,2.50312,2.47715
"41",7.07091,2,0.080871097,1.5799,-6.55242,48,1,151.484,157.667,2.14284,2.51445
"42",6.23075,2,0.071347032,0.4446,-4.90755,24,3.49947437,119.296,170,2.22172,2.52247
"43",9.45276,3,0.079089209,0.9063,-5.66964,8,1.439931125,185.644,139.993,2.2141,2.54021
"44",3.27892,3.5,0.06747718,2.8172,-6.83176,24,1,151.666,175.149,2.25804,2.57783
"45",7.99231,3.5,0.068996879,2.6269,-5.90772,48,1,171.19,139.184,2.22847,2.57836
"46",3.76808,1,0.083017865,2.3481,-4.28594,4,1.571031826,87.5919,205.622,2.13053,2.61306
"47",5.20261,2,0.067806954,2.4628,-6.18435,24,3.845535045,112.849,169,2.05732,2.61324
"48",6.90074,3,0.068866255,2.8177,-6.92655,8,1.439486929,140.096,143.677,2.12686,2.63292
"49",5.92248,3,0.074221693,0.6679,-6.87131,24,1.640687864,113.571,179.044,2.56814,2.63685
"50",4.89501,1.5,0.065272021,4.06,-9.11,24,1,136.09,138.598,2.05,2.642
"51",8.71659,3.5,0.078478376,0,-5.69159,48,1,171.947,144.538,2.23141,2.64462
"52",6.50184,3.5,0.082411202,1.9621,-6.68657,48,1,189.315,155.601,2.09102,2.65607
"53",4.89339,1.5,0.067477522,2.82,-6.83,24,1,136.069,138.891,2.05,2.66
"54",7.76088,2,0.068248904,2.2382,-6.33583,24,3.71583534,125.86,155.5,2.14139,2.75783
"55",5.37215,0.33,0.029589476,0,-4.29668,48,1,34.2582,127.487,2.09528,2.87552
"56",5.9135,3,0.070017224,1.4249,-6.12347,8,1.401484222,122.627,166.15,2.2935,2.90029
"57",6.1641,1.5,0.056967506,3.4389,-8.12499,4,1.210039752,119.82,141.918,2.03867,2.90735
"58",6.79017,3.5,0.077510367,0.4798,-5.36123,48,1,151.846,174.516,2.47343,2.95423
"59",7.25634,2,0.087924842,1.8904,-4.36026,24,4.279766675,153.361,187.5,2.22975,2.95475
"60",6.35358,2,0.084789389,1.7656,-5.29546,48,1,151.617,177.168,2.14549,3.00565
"61",6.98984,2,0.083802979,0.181,-5.70972,8,2.037775164,161.45,184.325,2.32326,3.02075
"62",6.92329,3.5,0.085107041,0.8467,-8.20289,48,1,202.285,195.572,2.71572,3.05528
"63",4.10294,3,0.086383387,0.9363,-6.84597,24,1.708765345,136.953,212.2,2.32855,3.07098
"64",6.1915,2,0.082360208,1.1565,-5.47771,48,1,154.983,179.657,2.16746,3.10202
"65",4.87204,2,0.063626892,2.7617,-7.05577,24,3.225850798,112.793,179,2.05372,3.18158
"66",6.36958,2,0.085663063,0.6598,-5.01568,48,1,143.992,177.168,2.077,3.18526
"67",5.14059,3,0.08122883,0.8325,-6.85505,24,1.676641953,127.25,199.675,2.42337,3.19101
"68",5.53578,0.3,0.042129506,0,-6.31737,24,0.430326804,78.6931,123.599,1.93837,3.21651
"69",3.60511,3.5,0.055331846,2.6438,-8.46874,24,1,129.617,150.879,1.9517,3.23817
"70",8.66614,3,0.084221874,1.7439,-7.01834,8,1.449158265,190.197,157.677,2.15589,3.24417
"71",5.17095,2.75,0.078902999,0,-6.48661,8,0.814980328,125.799,190.376,2.27327,3.26311
"72",10.7112,3.5,0.077597579,0,-6.05226,48,1,182.957,143.11,2.20219,3.29327
"73",5.88827,1,0.045541111,1.4444,-7.21432,4,1.232472113,89.4966,140.739,2.03778,3.2937
"74",4.34883,3,0.091560418,0.4469,-6.93377,8,1.398581755,132.775,238.357,2.62572,3.30019
"75",5.07482,2.5,0.07533335,1.8335,-6.96423,8,2.852211107,115.114,190.404,2.27568,3.34065
"76",3.62988,2,0.067244408,1.0851,-5.07432,16,2.080478459,87.1187,209.5,2.08644,3.41067
"77",6.30751,3.5,0.066619831,2.0853,-7.06209,48,1,141.134,162.025,2.20537,3.44149
"78",5.39781,3,0.085102399,0.2367,-5.91972,8,1.431930973,159.993,195.254,2.22486,3.53915
"79",5.26864,1.33,0.064757403,0.7847,-4.73709,8,0.643016199,96.7633,215.5,2.57834,3.57166
"80",6.77222,2,0.086841093,1.928,-5.72038,48,1,187.028,190.03,2.20969,3.5876
"81",7.0988,2,0.081828278,0,-6.1516,8,1,170.138,185.051,2.25132,3.61057
"82",5.45089,1.67,0.073621439,0,-4.98132,8,0.351699843,103.109,201.909,2.27474,3.63613
"83",5.67964,3.5,0.080846982,0,-6.77106,48,1,156.408,200.568,2.43638,3.66526
"84",6.08968,3,0.078092665,0,-7.98439,48,1,158.455,218.717,2.30328,3.68015
"85",6.88743,3.5,0.0749255,0.1483,-10.3493,48,1,171.035,155.958,1.96201,3.69397
"86",5.78322,3,0.063136495,4.5627,-8.60307,4,1.445333818,132.302,158.413,2.02115,3.70853
"87",6.02418,4,0.067199032,2.7616,-6.99725,16,1,135.508,168.601,1.99515,3.72026
"88",5.94794,2,0.101009463,2.3816,-5.39371,48,1,171.65,212.712,2.22599,3.72076
"89",6.02846,2,0.086405352,2.1913,-5.7353,48,1,182.843,199.988,2.20311,3.77139
"90",10.8692,2,0.082472186,0.5795,-4.85624,8,0.507189975,192.442,174.988,2.3447,3.78171
"91",8.41289,3,0.081986702,1.5949,-6.87782,8,1.433593259,142.569,162.466,2.10001,3.78178
"92",8.03756,3,0.0806965,1.4152,-6.96224,16,1.959566903,204.459,167.51,2.12026,3.82191
"93",4.59725,1.5,0.04248702,1.6,-7.90985,6,0.520701764,88.267,171.932,2.06919,3.83825
"94",2.81595,3.5,0.064,4.47,-8.03,24,1,158.117,189.476,2.05,3.84
"95",5.98438,3.5,0.083746993,1.0262,-5.95436,48,1,164.873,200.568,2.38615,3.85485
"96",7.23387,3.5,0.07657874,2.8929,-7.03908,48,1,142.607,161.668,2.03193,3.89072
"97",9.43152,0.33,0.043435958,0,-3.99092,48,1,50.7189,136.259,2.02618,3.976
"98",7.23794,3.5,0.072222313,2.1547,-8.76022,48,1,152.771,165.951,2.14687,4.03978
"99",5.5749,3,0.071974032,2.1853,-7.45354,24,2.440520388,144.107,170.892,2.08153,4.05023
"100",7.06112,2,0.088804313,2.0292,-5.30993,48,1,190.74,197.914,2.21642,4.07567
"101",6.42783,2,0.077064856,0.3589,-5.9266,8,1.21453009,160.05,206.602,2.39633,4.08945
"102",6.06196,2,0.087518734,1.6901,-5.50833,24,4.258978642,146.471,213,2.11131,4.10466
"103",7.41013,3.5,0.073569245,2.2244,-7.11239,48,1,156.924,167.021,2.14594,4.11838
"104",7.54439,3.5,0.074108009,2.2087,-7.10839,48,1,158.054,167.021,2.14354,4.16156
"105",3.61456,1.5,0.078918812,4.276,-8.58426,24,1,159.052,191.816,1.9357,4.23674
"106",5.26527,2,0.073321846,3.7068,-8.31499,4,0.761651939,147.576,181.991,2.01076,4.24501
"107",7.65603,3.5,0.07466663,2.1953,-7.10373,48,1,158.797,167.735,2.13823,4.25779
"108",7.76459,3.5,0.075209304,2.173,-7.10082,48,1,159.947,167.378,2.13324,4.27098
"109",7.76459,3.5,0.075209304,2.173,-7.10082,48,1,159.947,167.378,2.13324,4.27098
"110",5.18432,2,0.06818085,0,-5.18657,8,0.477126678,97.3228,207,2.15882,4.29353
"111",5.23267,3,0.084758692,3.1938,-5.53372,8,1.511270452,139.755,199.306,2.06943,4.29365
"112",5.7573,2.67,0.087732125,3.88,-8.73,8,1,214.648,206.602,2.05,4.33
"113",6.29411,3,0.08967122,0.4566,-6.26122,8,1.456068033,181.275,198.201,2.12647,4.43936
"114",10.6579,2,0.086711468,0.6013,-5.23445,8,0.520120768,201.604,187.52,2.30266,4.44125
"115",4.52769,4,0.069950452,5.3868,-7.95741,16,1,154.416,203.981,2.04585,4.44492
"116",4.54336,2,0.072865433,2.457,-6.32628,8,2.954718027,120.41,213.265,2.16232,4.51284
"117",6.10941,2,0.08903996,1.0375,-5.03943,24,3.835712363,148.377,226,2.17759,4.52881
"118",5.5622,3,0.08683068,3.6269,-7.76513,8,2.815084973,213.379,184.741,2.01526,4.53052
"119",5.41548,2,0.092625673,0.8331,-7.25374,8,3.127152972,160.312,222.808,2.14513,4.53693
"120",2.82237,3,0.068955055,2.7076,-7.21722,4,0.916796376,126.234,235.329,1.94527,4.55773
